record_id,subject,predicate,object,effect_direction,effect_size,dose,experimental_system,mechanism_class,direct_or_inferred,evidence_method,evidence_quality,supporting_quote,paper_id,extraction_source,prompt_version,confidence,edge_raw
R0001,Spirogyra maxima,INHIBITS,methane yield,decrease,Not stated,"multiple doses tested, optimum dose observed",in_vitro,['Unknown/unclear mechanism'],Inferred,in vitro gas production,Medium,Algal mix 1 (predominantly Spirogyra maxima) reduced methane yield,10.1016/j.scitotenv.2023.169296,auto,v2.0-126corpus,0.7,"{""source"": ""Spirogyra maxima"", ""target"": ""methane yield"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""Not stated"", ""dose"": ""multiple doses tested, optimum dose observed"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Inferred"", ""evidence_method"": ""in vitro gas production"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""Algal mix 1 (predominantly Spirogyra maxima) reduced methane yield"", ""paper_id"": ""10.1016/j.scitotenv.2023.169296"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.7}"
R0001,Montia australasica,INHIBITS,methane yield,decrease,Not stated,"multiple doses tested, optimum dose observed",in_vitro,['Unknown/unclear mechanism'],Inferred,in vitro gas production,Medium,M. australasica reduced methane yield in in vitro batch assay trials,10.1016/j.scitotenv.2023.169296,auto,v2.0-126corpus,0.7,"{""source"": ""Montia australasica"", ""target"": ""methane yield"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""Not stated"", ""dose"": ""multiple doses tested, optimum dose observed"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Inferred"", ""evidence_method"": ""in vitro gas production"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""M. australasica reduced methane yield in in vitro batch assay trials"", ""paper_id"": ""10.1016/j.scitotenv.2023.169296"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.7}"
R0002,Ascophyllum nodosum,MODULATES,methane yield,no_change,Not stated,5% inclusion rate,in_vitro,['Unknown/unclear mechanism'],Direct,Not stated,Medium,"The seaweeds had no substantial effect on rumen fermentation, feed degradability or methane emissions.",10.3389/fmicb.2016.00299,auto,v2.0-126corpus,0.85,"{""source"": ""Ascophyllum nodosum"", ""target"": ""methane yield"", ""edge_type"": ""MODULATES"", ""effect_direction"": ""no_change"", ""effect_size"": ""Not stated"", ""dose"": ""5% inclusion rate"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""Not stated"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""The seaweeds had no substantial effect on rumen fermentation, feed degradability or methane emissions."", ""paper_id"": ""10.3389/fmicb.2016.00299"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0002,Laminaria digitata,MODULATES,methane yield,no_change,Not stated,5% inclusion rate,in_vitro,['Unknown/unclear mechanism'],Direct,Not stated,Medium,"The seaweeds had no substantial effect on rumen fermentation, feed degradability or methane emissions.",10.3389/fmicb.2016.00299,auto,v2.0-126corpus,0.85,"{""source"": ""Laminaria digitata"", ""target"": ""methane yield"", ""edge_type"": ""MODULATES"", ""effect_direction"": ""no_change"", ""effect_size"": ""Not stated"", ""dose"": ""5% inclusion rate"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""Not stated"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""The seaweeds had no substantial effect on rumen fermentation, feed degradability or methane emissions."", ""paper_id"": ""10.3389/fmicb.2016.00299"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0002,Ascophyllum nodosum,INHIBITS,N degradability,decrease,24%,5% inclusion rate,in_vitro,['Unknown/unclear mechanism'],Direct,Not stated,Medium,ASC promoted a substantial decrease in N degradability (−24%) due to its high phlorotannins content.,10.3389/fmicb.2016.00299,auto,v2.0-126corpus,0.9,"{""source"": ""Ascophyllum nodosum"", ""target"": ""N degradability"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""24%"", ""dose"": ""5% inclusion rate"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""Not stated"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""ASC promoted a substantial decrease in N degradability (−24%) due to its high phlorotannins content."", ""paper_id"": ""10.3389/fmicb.2016.00299"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.9}"
R0002,Laminaria digitata,PROMOTES,xylan digestibility,increase,70%,5% inclusion rate,in_vitro,['Unknown/unclear mechanism'],Direct,Not stated,Medium,This adaptation of the microbial community to LAM diets led to a greater microbial ability to digest xylan (+70%),10.3389/fmicb.2016.00299,auto,v2.0-126corpus,0.85,"{""source"": ""Laminaria digitata"", ""target"": ""xylan digestibility"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""70%"", ""dose"": ""5% inclusion rate"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""Not stated"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""This adaptation of the microbial community to LAM diets led to a greater microbial ability to digest xylan (+70%)"", ""paper_id"": ""10.3389/fmicb.2016.00299"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0002,Laminaria digitata,PROMOTES,carboxy-methyl-cellulose digestibility,increase,41%,5% inclusion rate,in_vitro,['Unknown/unclear mechanism'],Direct,Not stated,Medium,This adaptation of the microbial community to LAM diets led to a greater microbial ability to digest ... carboxy-methyl-cellulose (+41%),10.3389/fmicb.2016.00299,auto,v2.0-126corpus,0.85,"{""source"": ""Laminaria digitata"", ""target"": ""carboxy-methyl-cellulose digestibility"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""41%"", ""dose"": ""5% inclusion rate"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""Not stated"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""This adaptation of the microbial community to LAM diets led to a greater microbial ability to digest ... carboxy-methyl-cellulose (+41%)"", ""paper_id"": ""10.3389/fmicb.2016.00299"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0002,Laminaria digitata,PROMOTES,microbial protein synthesis,increase,15%,5% inclusion rate,in_vitro,['Unknown/unclear mechanism'],Direct,Not stated,Medium,These differences among brown seaweeds resulted in greater microbial protein synthesis (+15%),10.3389/fmicb.2016.00299,auto,v2.0-126corpus,0.85,"{""source"": ""Laminaria digitata"", ""target"": ""microbial protein synthesis"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""15%"", ""dose"": ""5% inclusion rate"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""Not stated"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""These differences among brown seaweeds resulted in greater microbial protein synthesis (+15%)"", ""paper_id"": ""10.3389/fmicb.2016.00299"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0002,Laminaria digitata,PROMOTES,non-ammonia N flow,increase,11%,5% inclusion rate,in_vitro,['Unknown/unclear mechanism'],Direct,Not stated,Medium,These differences among brown seaweeds resulted in greater ... non-ammonia N flow (+11%),10.3389/fmicb.2016.00299,auto,v2.0-126corpus,0.85,"{""source"": ""Laminaria digitata"", ""target"": ""non-ammonia N flow"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""11%"", ""dose"": ""5% inclusion rate"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""Not stated"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""These differences among brown seaweeds resulted in greater ... non-ammonia N flow (+11%)"", ""paper_id"": ""10.3389/fmicb.2016.00299"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0003,seaweed-based feed additive,INHIBITS,methane yield,decrease,73.6%,280 mg bromoform/head per day,in_vivo,['Unknown/unclear mechanism'],Inferred,GreenFeed,High,"methane emissions in the SBFA treatment group were significantly lower than in the control group, averaging 53.7 g/d versus 203.2 g/d, corresponding to a 73.6% reduction",10.3390/ani15243625,auto,v2.0-126corpus,0.92,"{""source"": ""seaweed-based feed additive"", ""target"": ""methane yield"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""73.6%"", ""dose"": ""280 mg bromoform/head per day"", ""experimental_system"": ""in_vivo"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Inferred"", ""evidence_method"": ""GreenFeed"", ""evidence_quality"": ""High"", ""supporting_quote"": ""methane emissions in the SBFA treatment group were significantly lower than in the control group, averaging 53.7 g/d versus 203.2 g/d, corresponding to a 73.6% reduction"", ""paper_id"": ""10.3390/ani15243625"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
