record_id,node_id,node_name,node_type,description,node_raw
R0001,Spirogyra maxima,Spirogyra maxima,plant_species,"freshwater alga, predominant in Algal mix 1","{""id"": ""Spirogyra maxima"", ""node_type"": ""plant_species"", ""description"": ""freshwater alga, predominant in Algal mix 1""}"
R0001,Montia australasica,Montia australasica,plant_species,"Australian freshwater plant, contains flavonoids apigenin and kaempferol","{""id"": ""Montia australasica"", ""node_type"": ""plant_species"", ""description"": ""Australian freshwater plant, contains flavonoids apigenin and kaempferol""}"
R0001,methane yield,methane yield,outcome,methane production in in vitro batch assay,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""methane production in in vitro batch assay""}"
R0002,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,"brown seaweed, high phlorotannins","{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed, high phlorotannins""}"
R0002,Laminaria digitata,Laminaria digitata,plant_species,"brown seaweed, low phlorotannins","{""id"": ""Laminaria digitata"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed, low phlorotannins""}"
R0002,methane yield,methane yield,outcome,methane emissions,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""methane emissions""}"
R0002,N degradability,N degradability,outcome,nitrogen degradability,"{""id"": ""N degradability"", ""node_type"": ""outcome"", ""description"": ""nitrogen degradability""}"
R0002,xylan digestibility,xylan digestibility,outcome,xylan digestion,"{""id"": ""xylan digestibility"", ""node_type"": ""outcome"", ""description"": ""xylan digestion""}"
R0002,carboxy-methyl-cellulose digestibility,carboxy-methyl-cellulose digestibility,outcome,carboxy-methyl-cellulose digestion,"{""id"": ""carboxy-methyl-cellulose digestibility"", ""node_type"": ""outcome"", ""description"": ""carboxy-methyl-cellulose digestion""}"
R0002,microbial protein synthesis,microbial protein synthesis,outcome,microbial protein synthesis,"{""id"": ""microbial protein synthesis"", ""node_type"": ""outcome"", ""description"": ""microbial protein synthesis""}"
R0002,non-ammonia N flow,non-ammonia N flow,outcome,non-ammonia nitrogen flow,"{""id"": ""non-ammonia N flow"", ""node_type"": ""outcome"", ""description"": ""non-ammonia nitrogen flow""}"
R0003,seaweed-based feed additive,seaweed-based feed additive,feed_additive,seaweed-based feed additive containing bromoform,"{""id"": ""seaweed-based feed additive"", ""node_type"": ""feed_additive"", ""description"": ""seaweed-based feed additive containing bromoform""}"
R0003,methane yield,methane yield,outcome,enteric methane emissions,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane emissions""}"
R0004,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, methane inhibitor","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, methane inhibitor""}"
R0004,Palmaria mollis,Palmaria mollis,plant_species,red seaweed,"{""id"": ""Palmaria mollis"", ""node_type"": ""plant_species"", ""description"": ""red seaweed""}"
R0004,Mazzaella japonica,Mazzaella japonica,plant_species,red seaweed,"{""id"": ""Mazzaella japonica"", ""node_type"": ""plant_species"", ""description"": ""red seaweed""}"
