node_name,node_type,external_id,external_url,database,match_strategy
Spirogyra maxima,plant_species,3180.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3180,NCBI Taxonomy,Spirogyra maxima
Montia australasica,plant_species,384566.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=384566,NCBI Taxonomy,Montia australasica
Ascophyllum nodosum,plant_species,52969.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=52969,NCBI Taxonomy,Ascophyllum nodosum
Laminaria digitata,plant_species,80365.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=80365,NCBI Taxonomy,Laminaria digitata
Asparagopsis taxiformis,plant_species,260499.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=260499,NCBI Taxonomy,Asparagopsis taxiformis
Palmaria mollis,plant_species,700711.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=700711,NCBI Taxonomy,Palmaria mollis
Mazzaella japonica,plant_species,95356.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=95356,NCBI Taxonomy,Mazzaella japonica
Methanogens,rumen_archaea,,,NCBI Taxonomy,
Fibrobacter,rumen_bacteria,832.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=832,NCBI Taxonomy,Fibrobacter
Ruminococcus,rumen_bacteria,1263.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1263,NCBI Taxonomy,Ruminococcus
Prevotella,rumen_bacteria,838.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=838,NCBI Taxonomy,Prevotella
Bifidobacterium,rumen_bacteria,1678.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1678,NCBI Taxonomy,Bifidobacterium
Succinivibrio,rumen_bacteria,83770.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=83770,NCBI Taxonomy,Succinivibrio
Ruminobacter,rumen_bacteria,866.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=866,NCBI Taxonomy,Ruminobacter
unclassified Lachnospiraceae,rumen_bacteria,186928.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=186928,NCBI Taxonomy,unclassified Lachnospiraceae
Ecklonia stolonifera,plant_species,2748384.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2748384,NCBI Taxonomy,Ecklonia stolonifera
ciliate-associated methanogen,rumen_archaea,,,NCBI Taxonomy,
Fibrobacter succinogenes,rumen_bacteria,833.0,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=833,NCBI Taxonomy,Fibrobacter succinogenes
